user_id,dom1_present,dom1_seq_len,dom1_target_time,dom1_last_history_time,dom2_present,dom2_seq_len,dom2_target_time,dom2_last_history_time,dom3_present,dom3_seq_len,dom3_target_time,dom3_last_history_time,dom4_present,dom4_seq_len,dom4_target_time,dom4_last_history_time,n_domains_present
10082,1,2,,,1,5,,,1,2,,,0,0,,,3
10083,1,5,,,1,8,,,1,2,,,1,6,,,4
10084,1,32,,,1,5,,,1,2,,,1,7,,,4
10085,1,17,,,1,2,,,1,15,,,1,3,,,4
10086,1,8,,,1,5,,,1,4,,,1,3,,,4
10087,1,8,,,1,6,,,1,1,,,1,3,,,4
10088,1,22,,,1,9,,,1,2,,,1,6,,,4
10089,1,66,,,1,15,,,1,12,,,1,4,,,4
1009,1,6,,,1,28,,,1,11,,,1,10,,,4
10090,1,2,,,1,2,,,1,4,,,1,4,,,4
10091,1,2,,,1,14,,,1,8,,,1,3,,,4
10092,1,18,,,1,14,,,1,6,,,1,16,,,4
10093,1,2,,,1,3,,,1,1,,,1,5,,,4
10094,1,5,,,1,8,,,1,23,,,1,4,,,4
10095,1,4,,,1,39,,,1,2,,,1,8,,,4
10096,1,2,,,1,1,,,1,5,,,1,2,,,4
10097,1,4,,,1,17,,,1,12,,,1,9,,,4
10098,1,12,,,1,4,,,1,5,,,1,3,,,4
10099,1,10,,,1,8,,,1,2,,,1,1,,,4
101,1,43,,,1,5,,,1,4,,,1,4,,,4
1010,1,7,,,1,11,,,1,9,,,1,4,,,4
10100,1,2,,,1,14,,,1,6,,,1,8,,,4
10101,1,4,,,1,8,,,1,2,,,1,3,,,4
10102,1,4,,,1,23,,,1,4,,,1,16,,,4
10103,1,2,,,1,13,,,1,4,,,1,4,,,4
10104,1,15,,,1,14,,,1,2,,,1,6,,,4
10105,1,10,,,1,2,,,1,1,,,1,8,,,4
10106,1,10,,,1,3,,,1,2,,,1,16,,,4
10107,1,2,,,1,14,,,1,7,,,0,0,,,3
10108,1,2,,,1,6,,,1,10,,,1,3,,,4
10109,1,2,,,1,7,,,1,7,,,1,2,,,4
1011,1,6,,,1,25,,,1,6,,,1,2,,,4
10110,1,18,,,1,3,,,1,1,,,1,2,,,4
10111,1,5,,,1,2,,,1,9,,,1,3,,,4
10112,1,38,,,1,21,,,1,2,,,1,2,,,4
10113,1,10,,,1,13,,,1,2,,,1,4,,,4
10114,1,18,,,1,2,,,1,7,,,1,7,,,4
10115,1,2,,,1,3,,,1,4,,,1,3,,,4
10116,1,32,,,1,29,,,1,33,,,1,22,,,4
10117,1,41,,,1,35,,,1,21,,,1,5,,,4
10118,1,3,,,1,3,,,1,8,,,1,3,,,4
10119,1,4,,,1,35,,,1,2,,,1,10,,,4
1012,1,3,,,1,4,,,1,1,,,1,3,,,4
10120,1,9,,,1,8,,,1,3,,,1,7,,,4
10121,1,1,,,1,3,,,1,2,,,1,4,,,4
10122,1,10,,,1,6,,,1,2,,,1,4,,,4
10123,1,7,,,1,5,,,1,5,,,1,2,,,4
10124,1,2,,,1,6,,,1,1,,,1,7,,,4
10125,1,4,,,1,13,,,1,12,,,1,11,,,4
10126,1,2,,,1,12,,,1,11,,,1,18,,,4
10127,1,5,,,1,40,,,1,2,,,1,6,,,4
10128,1,6,,,1,2,,,1,6,,,1,4,,,4
10129,1,2,,,1,2,,,1,3,,,1,14,,,4
1013,1,9,,,1,15,,,1,15,,,1,6,,,4
10130,1,6,,,1,4,,,1,13,,,1,22,,,4
10131,1,43,,,1,30,,,1,4,,,1,14,,,4
10132,1,39,,,1,9,,,1,6,,,1,2,,,4
10133,1,4,,,1,10,,,1,28,,,1,10,,,4
10134,1,3,,,1,2,,,1,8,,,1,2,,,4
10135,1,7,,,1,10,,,1,2,,,1,6,,,4
10136,1,3,,,1,40,,,1,11,,,1,8,,,4
10137,1,8,,,1,5,,,1,1,,,1,4,,,4
10138,1,7,,,1,12,,,1,7,,,1,2,,,4
10139,1,2,,,1,2,,,1,24,,,1,3,,,4
1014,1,3,,,1,3,,,1,5,,,1,2,,,4
10140,1,5,,,1,7,,,1,2,,,1,7,,,4
10141,1,7,,,1,17,,,1,12,,,1,3,,,4
10142,1,2,,,1,5,,,1,2,,,1,2,,,4
10143,1,3,,,1,7,,,1,3,,,1,1,,,4
10144,1,15,,,1,5,,,1,5,,,1,7,,,4
10145,1,6,,,1,2,,,1,5,,,1,4,,,4
10146,1,4,,,1,4,,,1,2,,,1,2,,,4
10147,1,2,,,1,3,,,1,2,,,1,4,,,4
10148,1,3,,,1,4,,,1,3,,,1,2,,,4
10149,1,10,,,1,4,,,1,2,,,1,1,,,4
1015,1,2,,,1,6,,,1,10,,,1,1,,,4
10150,1,10,,,1,37,,,1,12,,,1,17,,,4
10151,1,8,,,1,15,,,1,6,,,1,4,,,4
10152,1,5,,,1,5,,,1,18,,,1,3,,,4
10153,1,2,,,1,2,,,1,7,,,1,10,,,4
10154,1,7,,,1,9,,,1,6,,,1,2,,,4
10155,1,28,,,1,31,,,1,43,,,1,18,,,4
10156,1,4,,,1,13,,,1,5,,,1,2,,,4
10157,1,2,,,1,13,,,1,19,,,1,4,,,4
10158,1,13,,,1,12,,,1,5,,,1,4,,,4
10159,1,3,,,1,5,,,1,6,,,1,5,,,4
1016,1,7,,,1,8,,,1,2,,,1,2,,,4
10160,1,13,,,1,4,,,1,3,,,1,1,,,4
10161,1,4,,,1,3,,,1,5,,,1,2,,,4
10162,1,6,,,1,5,,,1,4,,,1,1,,,4
10163,1,15,,,1,3,,,1,4,,,1,2,,,4
10164,1,57,,,1,20,,,1,19,,,1,17,,,4
10165,1,3,,,1,7,,,1,8,,,1,36,,,4
10166,1,2,,,1,3,,,1,1,,,1,3,,,4
10167,1,2,,,1,3,,,1,20,,,1,24,,,4
10168,1,2,,,1,8,,,1,13,,,1,2,,,4
10169,1,28,,,1,4,,,1,6,,,1,1,,,4
1017,1,39,,,1,2,,,1,12,,,1,2,,,4
10170,1,8,,,1,5,,,1,2,,,1,2,,,4
10171,1,15,,,1,8,,,1,2,,,1,4,,,4
10172,1,2,,,1,5,,,1,7,,,1,9,,,4
10173,1,3,,,1,8,,,1,2,,,1,5,,,4
10174,1,16,,,1,6,,,1,2,,,1,8,,,4
10175,1,7,,,1,5,,,1,6,,,1,3,,,4
10176,1,2,,,1,9,,,1,5,,,1,1,,,4
10177,1,43,,,1,9,,,1,2,,,1,7,,,4
10178,1,39,,,1,61,,,1,12,,,1,7,,,4
10179,1,2,,,1,3,,,1,3,,,1,2,,,4
1018,1,5,,,1,10,,,1,11,,,1,1,,,4
10180,1,3,,,1,24,,,1,13,,,1,16,,,4
10181,1,2,,,1,17,,,1,10,,,1,24,,,4
10182,1,6,,,1,9,,,1,8,,,1,3,,,4
10183,1,1,,,1,2,,,1,3,,,1,1,,,4
10184,1,41,,,1,21,,,1,6,,,1,7,,,4
10185,1,7,,,1,11,,,1,3,,,1,4,,,4
10186,1,5,,,1,6,,,1,10,,,1,13,,,4
10187,1,4,,,1,34,,,1,7,,,1,2,,,4
10188,1,4,,,1,4,,,1,26,,,1,11,,,4
10189,1,2,,,1,3,,,1,3,,,1,2,,,4
1019,1,8,,,1,28,,,1,26,,,1,21,,,4
10190,1,13,,,1,51,,,1,3,,,1,7,,,4
10191,1,2,,,1,4,,,1,1,,,1,3,,,4
10192,1,4,,,1,6,,,1,4,,,1,4,,,4
10193,1,2,,,1,15,,,1,3,,,1,9,,,4
10194,1,1,,,1,4,,,1,8,,,1,4,,,4
10195,1,3,,,1,2,,,1,26,,,1,11,,,4
10196,1,6,,,1,1,,,1,6,,,1,3,,,4
10197,1,14,,,1,4,,,1,15,,,1,15,,,4
10198,1,7,,,1,24,,,1,4,,,1,6,,,4
10199,1,75,,,1,4,,,1,7,,,1,2,,,4
102,1,23,,,1,69,,,1,3,,,1,24,,,4
1020,1,3,,,1,4,,,1,1,,,1,4,,,4
10200,1,2,,,1,2,,,1,1,,,1,2,,,4
10201,1,18,,,1,5,,,1,2,,,1,1,,,4
10202,1,12,,,1,4,,,1,7,,,1,7,,,4
10203,1,31,,,1,8,,,1,6,,,1,9,,,4
10204,1,2,,,1,11,,,1,13,,,1,8,,,4
10205,1,8,,,1,3,,,1,2,,,1,1,,,4
10206,1,3,,,1,6,,,1,1,,,1,5,,,4
10207,1,7,,,1,3,,,1,2,,,1,1,,,4
10208,1,18,,,1,25,,,1,3,,,1,2,,,4
10209,1,4,,,1,14,,,1,10,,,1,1,,,4
1021,1,2,,,1,5,,,1,3,,,1,3,,,4
10210,1,15,,,1,8,,,1,14,,,1,4,,,4
10211,1,2,,,1,6,,,1,9,,,1,3,,,4
10212,1,3,,,1,2,,,1,6,,,1,1,,,4
10213,1,63,,,1,17,,,1,19,,,1,12,,,4
10214,1,5,,,1,9,,,1,6,,,1,16,,,4
10215,1,32,,,1,31,,,1,14,,,1,23,,,4
10216,1,6,,,1,6,,,1,3,,,1,5,,,4
10217,1,3,,,1,29,,,1,21,,,1,16,,,4
10218,1,6,,,1,6,,,1,19,,,1,15,,,4
10219,1,2,,,1,3,,,1,6,,,1,1,,,4
1022,1,2,,,1,5,,,1,7,,,1,4,,,4
10220,1,12,,,1,19,,,1,7,,,1,2,,,4
10221,1,1,,,1,7,,,1,1,,,1,2,,,4
10222,1,2,,,1,9,,,1,4,,,1,2,,,4
10223,1,2,,,1,7,,,1,4,,,1,5,,,4
10224,1,3,,,1,14,,,1,7,,,1,2,,,4
10225,1,21,,,1,3,,,1,9,,,1,13,,,4
10226,1,40,,,1,8,,,1,2,,,1,2,,,4
10227,1,3,,,1,6,,,1,4,,,1,2,,,4
10228,1,5,,,1,26,,,1,8,,,1,13,,,4
10229,1,20,,,1,12,,,1,8,,,1,5,,,4
1023,1,18,,,1,17,,,1,15,,,1,10,,,4
10230,0,0,,,1,16,,,1,51,,,1,11,,,3
10231,1,9,,,1,3,,,1,9,,,1,2,,,4
10232,1,21,,,1,7,,,1,3,,,1,8,,,4
10233,1,2,,,1,55,,,1,3,,,1,7,,,4
10234,1,2,,,1,4,,,0,0,,,1,3,,,3
10235,1,2,,,1,4,,,1,9,,,1,3,,,4
10236,1,21,,,1,34,,,1,2,,,1,2,,,4
10237,1,36,,,1,23,,,1,14,,,1,11,,,4
10238,1,6,,,1,2,,,1,3,,,1,1,,,4
10239,1,3,,,1,2,,,1,2,,,1,2,,,4
1024,1,16,,,1,3,,,1,9,,,1,3,,,4
10240,1,14,,,1,44,,,1,13,,,1,9,,,4
10241,1,2,,,1,6,,,1,11,,,1,9,,,4
10242,1,2,,,1,7,,,1,8,,,1,4,,,4
10243,1,2,,,1,14,,,1,26,,,1,35,,,4
10244,1,6,,,1,4,,,1,1,,,1,6,,,4
10245,1,9,,,1,6,,,1,4,,,1,3,,,4
10246,1,18,,,1,70,,,1,20,,,1,7,,,4
10247,1,6,,,1,2,,,1,4,,,1,3,,,4
10248,1,7,,,1,7,,,1,1,,,1,2,,,4
10249,1,2,,,1,4,,,1,3,,,1,6,,,4
1025,1,17,,,1,17,,,1,3,,,1,3,,,4
10250,1,6,,,1,12,,,1,12,,,1,10,,,4
10251,1,29,,,1,6,,,1,7,,,1,2,,,4
10252,1,4,,,1,8,,,1,5,,,1,3,,,4
10253,1,13,,,1,11,,,1,4,,,1,9,,,4
10254,1,97,,,1,5,,,1,6,,,1,2,,,4
10255,1,41,,,1,21,,,1,9,,,1,4,,,4
10256,1,44,,,1,12,,,1,6,,,1,2,,,4
10257,1,13,,,1,3,,,1,16,,,1,2,,,4
10258,1,11,,,1,14,,,1,2,,,1,1,,,4
10259,1,4,,,1,6,,,1,1,,,1,3,,,4
1026,1,6,,,1,2,,,1,4,,,1,4,,,4
10260,1,18,,,1,2,,,1,11,,,1,5,,,4
10261,1,8,,,1,3,,,1,20,,,1,8,,,4
10262,1,3,,,1,2,,,1,3,,,1,4,,,4
10263,1,5,,,1,17,,,1,2,,,1,7,,,4
10264,1,1,,,1,2,,,1,2,,,1,4,,,4
10265,1,5,,,1,11,,,1,12,,,1,20,,,4
10266,1,66,,,1,24,,,1,10,,,1,18,,,4
10267,1,100,,,1,3,,,1,7,,,1,5,,,4
10268,1,21,,,1,15,,,1,25,,,1,17,,,4
10269,1,2,,,1,2,,,1,3,,,1,1,,,4
1027,1,26,,,1,7,,,1,3,,,1,1,,,4
10270,1,2,,,1,26,,,1,20,,,1,34,,,4
10271,1,56,,,1,8,,,1,11,,,1,6,,,4
10272,1,9,,,1,11,,,1,1,,,1,3,,,4
10273,1,7,,,1,27,,,1,13,,,1,2,,,4
10274,1,47,,,1,12,,,1,20,,,1,20,,,4
10275,1,16,,,1,13,,,1,7,,,1,13,,,4
10276,1,13,,,1,26,,,1,5,,,1,11,,,4
10277,1,6,,,1,3,,,1,5,,,1,1,,,4
10278,1,1,,,1,16,,,1,12,,,1,7,,,4
10279,1,6,,,1,2,,,1,7,,,1,4,,,4
1028,1,1,,,1,8,,,1,8,,,1,3,,,4
10280,1,8,,,1,26,,,1,14,,,1,22,,,4
10281,1,34,,,1,12,,,1,9,,,1,16,,,4
10282,1,2,,,1,17,,,1,2,,,1,6,,,4
10283,1,30,,,1,14,,,1,8,,,1,2,,,4
10284,1,12,,,1,8,,,1,6,,,1,4,,,4
10285,1,9,,,1,23,,,1,1,,,1,7,,,4
10286,1,2,,,1,5,,,1,3,,,1,4,,,4
10287,1,102,,,1,5,,,1,3,,,1,2,,,4
10288,1,33,,,1,5,,,1,6,,,1,6,,,4
10289,1,9,,,1,4,,,1,2,,,1,3,,,4
1029,1,3,,,1,2,,,1,2,,,1,2,,,4
10290,1,3,,,1,17,,,1,17,,,1,10,,,4
10291,1,36,,,1,2,,,1,2,,,1,5,,,4
10292,1,14,,,1,2,,,1,10,,,1,4,,,4
10293,1,2,,,1,7,,,1,43,,,1,60,,,4
10294,1,67,,,1,26,,,1,8,,,1,7,,,4
10295,1,2,,,1,19,,,1,33,,,1,26,,,4
10296,1,21,,,1,3,,,1,1,,,1,3,,,4
10297,1,16,,,1,7,,,1,3,,,1,4,,,4
10298,1,25,,,1,11,,,1,13,,,1,8,,,4
10299,1,13,,,1,3,,,1,6,,,1,7,,,4
103,1,1,,,1,7,,,1,4,,,1,3,,,4
1030,1,5,,,1,7,,,1,7,,,1,2,,,4
10300,1,5,,,1,29,,,1,11,,,1,25,,,4
10301,1,10,,,1,3,,,1,2,,,1,1,,,4
10302,1,6,,,1,4,,,1,2,,,1,2,,,4
10303,1,2,,,1,12,,,1,3,,,1,1,,,4
10304,1,2,,,1,2,,,1,11,,,1,3,,,4
10305,1,3,,,1,12,,,1,16,,,1,11,,,4
10306,1,8,,,1,2,,,1,2,,,1,4,,,4
10307,1,6,,,1,21,,,1,38,,,1,6,,,4
10308,1,8,,,1,4,,,1,2,,,1,5,,,4
10309,1,27,,,1,3,,,1,5,,,1,3,,,4
1031,1,4,,,1,4,,,1,5,,,1,1,,,4
10310,1,2,,,1,9,,,1,8,,,1,3,,,4
10311,1,70,,,1,7,,,1,7,,,1,2,,,4
10312,1,4,,,1,7,,,1,14,,,1,30,,,4
10313,1,2,,,1,5,,,1,2,,,1,2,,,4
10314,1,2,,,1,3,,,1,1,,,1,2,,,4
10315,1,12,,,1,3,,,0,0,,,1,2,,,3
10316,1,11,,,1,10,,,1,2,,,1,2,,,4
10317,1,8,,,1,8,,,1,17,,,1,25,,,4
10318,1,16,,,1,21,,,1,4,,,1,6,,,4
10319,1,2,,,1,4,,,1,1,,,1,4,,,4
1032,1,10,,,1,3,,,1,1,,,1,1,,,4
10320,1,2,,,1,28,,,1,13,,,1,7,,,4
10321,1,85,,,1,4,,,1,10,,,1,9,,,4
10322,1,3,,,1,4,,,1,2,,,1,2,,,4
10323,1,18,,,1,5,,,1,5,,,1,5,,,4
10324,1,17,,,1,37,,,1,51,,,1,17,,,4
10325,1,7,,,1,5,,,1,4,,,1,2,,,4
10326,1,18,,,1,1,,,1,5,,,1,10,,,4
10327,1,2,,,1,2,,,1,2,,,1,3,,,4
10328,1,12,,,1,2,,,1,2,,,1,5,,,4
10329,1,2,,,1,30,,,1,8,,,1,33,,,4
1033,1,2,,,1,47,,,1,7,,,1,13,,,4
10330,1,2,,,1,3,,,1,4,,,1,2,,,4
10331,1,14,,,1,17,,,1,7,,,1,11,,,4
10332,1,5,,,1,6,,,1,12,,,1,2,,,4
10333,1,7,,,1,15,,,1,16,,,1,7,,,4
10334,1,7,,,1,3,,,1,3,,,1,1,,,4
10335,1,6,,,1,11,,,1,2,,,1,1,,,4
10336,1,3,,,1,2,,,1,5,,,1,5,,,4
10337,1,2,,,1,9,,,1,6,,,1,3,,,4
10338,1,3,,,1,3,,,1,4,,,1,7,,,4
10339,1,5,,,1,23,,,1,4,,,1,14,,,4
1034,1,2,,,1,4,,,1,2,,,1,3,,,4
10340,1,14,,,1,8,,,1,7,,,1,8,,,4
10341,1,5,,,1,6,,,1,2,,,1,5,,,4
10342,1,6,,,1,5,,,1,6,,,1,2,,,4
10343,1,5,,,1,12,,,1,6,,,1,4,,,4
10344,1,3,,,1,2,,,1,1,,,1,3,,,4
10345,1,2,,,1,4,,,1,2,,,1,1,,,4
10346,1,6,,,1,1,,,1,3,,,1,3,,,4
10347,1,14,,,1,3,,,1,3,,,1,7,,,4
10348,1,4,,,1,3,,,1,5,,,1,3,,,4
10349,1,7,,,1,3,,,1,3,,,1,3,,,4
1035,1,27,,,1,7,,,1,19,,,1,15,,,4
10350,1,4,,,1,4,,,1,2,,,1,2,,,4
10351,1,3,,,1,11,,,1,2,,,1,2,,,4
10352,1,50,,,1,14,,,1,37,,,1,19,,,4
10353,1,5,,,0,0,,,1,3,,,1,3,,,3
10354,1,25,,,1,20,,,1,5,,,1,7,,,4
10355,1,7,,,1,6,,,1,7,,,1,8,,,4
10356,1,4,,,1,23,,,1,3,,,1,28,,,4
10357,1,7,,,1,6,,,1,3,,,1,3,,,4
10358,1,5,,,1,7,,,1,2,,,1,1,,,4
10359,1,5,,,1,3,,,1,18,,,1,2,,,4
1036,1,14,,,1,4,,,1,3,,,1,7,,,4
10360,1,48,,,1,40,,,1,3,,,1,8,,,4
10361,1,4,,,1,16,,,1,24,,,1,4,,,4
10362,1,11,,,1,24,,,1,7,,,1,3,,,4
10363,1,29,,,1,5,,,1,2,,,1,4,,,4
10364,1,5,,,1,31,,,1,2,,,1,19,,,4
10365,1,16,,,1,2,,,1,4,,,1,3,,,4
10366,1,10,,,1,9,,,1,16,,,1,2,,,4
10367,1,2,,,1,19,,,1,2,,,1,19,,,4
10368,1,4,,,1,1,,,1,5,,,1,9,,,4
10369,1,4,,,1,13,,,1,3,,,1,5,,,4
1037,1,2,,,1,34,,,1,11,,,1,6,,,4
10370,1,10,,,1,4,,,1,3,,,1,6,,,4
10371,1,5,,,1,2,,,1,1,,,1,1,,,4
10372,1,3,,,1,24,,,1,18,,,1,6,,,4
10373,1,1,,,1,2,,,1,3,,,1,2,,,4
10374,1,4,,,1,2,,,1,8,,,1,7,,,4
10375,1,28,,,1,7,,,1,33,,,1,29,,,4
10376,1,3,,,1,22,,,1,8,,,1,5,,,4
10377,1,57,,,1,14,,,1,10,,,1,14,,,4
10378,1,12,,,1,20,,,1,14,,,1,4,,,4
10379,1,3,,,1,2,,,1,5,,,1,1,,,4
1038,1,39,,,1,3,,,1,2,,,1,8,,,4
10380,1,21,,,1,4,,,1,4,,,1,6,,,4
10381,1,17,,,1,6,,,1,3,,,1,5,,,4
10382,1,4,,,1,1,,,1,4,,,1,2,,,4
10383,1,13,,,1,26,,,1,4,,,1,4,,,4
10384,1,6,,,1,8,,,1,5,,,1,7,,,4
10385,1,6,,,1,1,,,1,3,,,1,1,,,4
10386,1,6,,,1,44,,,1,10,,,1,21,,,4
10387,1,9,,,1,2,,,1,2,,,1,1,,,4
10388,1,15,,,1,7,,,1,5,,,1,1,,,4
10389,1,4,,,1,8,,,1,9,,,1,3,,,4
1039,1,3,,,1,11,,,1,20,,,1,23,,,4
10390,1,2,,,1,15,,,1,3,,,1,14,,,4
10391,1,7,,,1,20,,,1,4,,,1,3,,,4
10392,1,7,,,1,30,,,1,7,,,1,7,,,4
10393,1,2,,,1,8,,,1,10,,,1,8,,,4
10394,1,2,,,1,3,,,1,4,,,1,1,,,4
10395,1,2,,,1,9,,,1,8,,,1,1,,,4
10396,1,3,,,1,5,,,1,1,,,1,3,,,4
10397,1,11,,,1,7,,,1,9,,,1,4,,,4
10398,1,28,,,1,8,,,1,3,,,1,17,,,4
10399,1,22,,,1,12,,,1,17,,,1,11,,,4
104,1,60,,,1,2,,,1,2,,,1,3,,,4
1040,1,4,,,1,16,,,1,31,,,1,14,,,4
10400,1,6,,,1,11,,,1,6,,,1,4,,,4
10401,1,6,,,1,6,,,1,2,,,1,4,,,4
10402,1,2,,,1,4,,,1,3,,,1,5,,,4
10403,1,4,,,1,4,,,1,8,,,0,0,,,3
10404,1,5,,,1,17,,,1,11,,,1,26,,,4
10405,1,2,,,1,2,,,1,1,,,1,1,,,4
10406,1,2,,,1,4,,,1,9,,,1,1,,,4
10407,1,6,,,1,17,,,1,3,,,1,5,,,4
10408,1,3,,,1,12,,,1,1,,,1,2,,,4
10409,1,3,,,1,8,,,1,3,,,1,9,,,4
1041,1,11,,,1,34,,,1,4,,,1,9,,,4
10410,1,4,,,1,14,,,1,6,,,1,15,,,4
10411,1,4,,,1,93,,,1,5,,,1,16,,,4
10412,1,4,,,1,2,,,1,1,,,1,3,,,4
10413,1,4,,,1,6,,,1,3,,,1,4,,,4
10414,1,2,,,1,3,,,1,13,,,1,8,,,4
10415,1,12,,,1,4,,,1,2,,,0,0,,,3
10416,1,3,,,1,5,,,1,3,,,1,5,,,4
10417,1,38,,,1,27,,,1,1,,,1,8,,,4
10418,1,5,,,1,14,,,1,3,,,1,9,,,4
10419,1,3,,,1,9,,,1,23,,,1,9,,,4
1042,1,2,,,1,5,,,1,2,,,1,4,,,4
10420,1,19,,,1,14,,,1,12,,,1,2,,,4
10421,0,0,,,1,13,,,1,9,,,1,5,,,3
10422,1,3,,,1,1,,,1,2,,,1,7,,,4
